sub_technique_name,sub_technique_number
Scanning IP Blocks,T1595.001
Vulnerability Scanning,T1595.002
Wordlist Scanning,T1595.003
Hardware,T1592.001
Software,T1592.002
Firmware,T1592.003
Client Configurations,T1592.004
Credentials,T1589.001
Email Addresses,T1589.002
Employee Names,T1589.003
Domain Properties,T1590.001
DNS,T1590.002
Network Trust Dependencies,T1590.003
Network Topology,T1590.004
IP Addresses,T1590.005
Network Security Appliances,T1590.006
Determine Physical Locations,T1591.001
Business Relationships,T1591.002
Identify Business Tempo,T1591.003
Identify Roles,T1591.004
Spearphishing Service,T1598.001
Spearphishing Attachment,T1598.002
Spearphishing Link,T1598.003
Spearphishing Voice,T1598.004
Threat Intel Vendors,T1597.001
Purchase Technical Data,T1597.002
DNS/Passive DNS,T1596.001
WHOIS,T1596.002
Digital Certificates,T1596.003
CDNs,T1596.004
Scan Databases,T1596.005
Social Media,T1593.001
Search Engines,T1593.002
Code Repositories,T1593.003
Domains,T1583.001
DNS Server,T1583.002
Virtual Private Server,T1583.003
Server,T1583.004
Botnet,T1583.005
Web Services,T1583.006
Serverless,T1583.007
Malvertising,T1583.008
Social Media Accounts,T1586.001
Email Accounts,T1586.002
Cloud Accounts,T1586.003
Domains,T1584.001
DNS Server,T1584.002
Virtual Private Server,T1584.003
Server,T1584.004
Botnet,T1584.005
Web Services,T1584.006
Serverless,T1584.007
Network Devices,T1584.008
Malware,T1587.001
Code Signing Certificates,T1587.002
Digital Certificates,T1587.003
Exploits,T1587.004
Social Media Accounts,T1585.001
Email Accounts,T1585.002
Cloud Accounts,T1585.003
Malware,T1588.001
Tool,T1588.002
Code Signing Certificates,T1588.003
Digital Certificates,T1588.004
Exploits,T1588.005
Vulnerabilities,T1588.006
Artificial Intelligence,T1588.007
Upload Malware,T1608.001
Upload Tool,T1608.002
Install Digital Certificate,T1608.003
Drive-by Target,T1608.004
Link Target,T1608.005
SEO Poisoning,T1608.006
Spearphishing Attachment,T1566.001
Spearphishing Link,T1566.002
Spearphishing via Service,T1566.003
Spearphishing Voice,T1566.004
Compromise Software Dependencies and Development Tools,T1195.001
Compromise Software Supply Chain,T1195.002
Compromise Hardware Supply Chain,T1195.003
Default Accounts,T1078.001
Domain Accounts,T1078.002
Local Accounts,T1078.003
Cloud Accounts,T1078.004
PowerShell,T1059.001
AppleScript,T1059.002
Windows Command Shell,T1059.003
Unix Shell,T1059.004
Visual Basic,T1059.005
Python,T1059.006
JavaScript,T1059.007
Network Device CLI,T1059.008
Cloud API,T1059.009
AutoHotKey & AutoIT,T1059.010
Component Object Model,T1559.001
Dynamic Data Exchange,T1559.002
XPC Services,T1559.003
At,T1053.002
Cron,T1053.003
Scheduled Task,T1053.005
Systemd Timers,T1053.006
Container Orchestration Job,T1053.007
Launchctl,T1569.001
Service Execution,T1569.002
Malicious Link,T1204.001
Malicious File,T1204.002
Malicious Image,T1204.003
Additional Cloud Credentials,T1098.001
Additional Email Delegate Permissions,T1098.002
Additional Cloud Roles,T1098.003
SSH Authorized Keys,T1098.004
Device Registration,T1098.005
Additional Container Cluster Roles,T1098.006
Registry Run Keys / Startup Folder,T1547.001
Authentication Package,T1547.002
Time Providers,T1547.003
Winlogon Helper DLL,T1547.004
Security Support Provider,T1547.005
Kernel Modules and Extensions,T1547.006
Re-opened Applications,T1547.007
LSASS Driver,T1547.008
Shortcut Modification,T1547.009
Port Monitors,T1547.010
Print Processors,T1547.012
XDG Autostart Entries,T1547.013
Active Setup,T1547.014
Login Items,T1547.015
Logon Script (Windows),T1037.001
Login Hook,T1037.002
Network Logon Script,T1037.003
RC Scripts,T1037.004
Startup Items,T1037.005
Local Account,T1136.001
Domain Account,T1136.002
Cloud Account,T1136.003
Launch Agent,T1543.001
Systemd Service,T1543.002
Windows Service,T1543.003
Launch Daemon,T1543.004
Container Service,T1543.005
Change Default File Association,T1546.001
Screensaver,T1546.002
Windows Management Instrumentation Event Subscription,T1546.003
Unix Shell Configuration Modification,T1546.004
Trap,T1546.005
LC_LOAD_DYLIB Addition,T1546.006
Netsh Helper DLL,T1546.007
Accessibility Features,T1546.008
AppCert DLLs,T1546.009
AppInit DLLs,T1546.010
